strategy_id,samples,pass_rate,avg_total_gap,median_total_gap,avg_annualized_gap,avg_drawdown_improvement,avg_strategy_return,avg_buy_hold_return,avg_var_5,avg_cvar_5,avg_turnover,avg_trades,promotion_state,requires_quantlab_exact_rerun,requires_user_approval_before_strategy_library_write
bw92_boll_lower_rsi_high_trim_strong_trend_full_drawdown_90,17,1.0,0.0114471046312249,0.0090132663724969,0.0083591426331875,0.0259793825346829,-0.1884350461595467,-0.1998821507907716,-0.0264145185575433,-0.0414604169747853,5.492697624285699,486.3529411764706,external_candidate,True,True
bw92_boll_lower_none_strong_trend_full_atr_96,17,1.0,0.0099889474131375,0.0147102036279415,0.0075678484452147,0.0206675825210069,-0.1416964301301797,-0.1516853775433172,-0.0254437732931841,-0.0405320049858906,4.222613236384966,449.11764705882354,external_candidate,True,True
bw92_rsi_35_none_strong_trend_full_drawdown_90,14,1.0,0.0096259024954652,0.0023576895296945,0.0073344621268012,0.0246527754484908,-0.1672943704004156,-0.1769202728958809,-0.024256478398045,-0.035767553047627,4.058471643288537,457.42857142857144,external_candidate,True,True
bw92_boll_lower_none_none_none,23,1.0,0.0079341664740392,0.0119262825248372,0.0066074790428501,0.0220153305548915,-0.1237982151143923,-0.1317323815884315,-0.0273762517549609,-0.0407257321265079,2.8612382267615657,501.0869565217391,external_candidate,True,True
bw92_none_none_ma_trend_full_ma60_break_90,14,1.0,0.0085954026000445,0.0133977345106339,0.0063080506456476,0.0216741966482059,-0.1715830028461593,-0.1801784054462038,-0.0228377031361184,-0.0362411159179759,3.0389766221180663,342.2142857142857,external_candidate,True,True
bw92_boll_or_rsi_rsi_high_trim_ma_trend_full_ma60_break_90,14,1.0,0.0089929079593363,0.0126923202343718,0.0060322303577088,0.0218927075430538,-0.1811945669473977,-0.190187474906734,-0.0271896499445678,-0.0391596485944205,5.766475656166799,400.5,external_candidate,True,True
bw92_boll_lower_rsi_high_trim_ma_trend_full_ma60_break_90,20,1.0,0.0076799336379064,0.0094479070517976,0.0059976918153693,0.0229403899724481,-0.1472115075385651,-0.1548914411764715,-0.0260488314970083,-0.0390866878625776,6.2996712504749315,401.65,external_candidate,True,True
bw92_rsi_35_none_macd_trend_full_drawdown_90,19,1.0,0.0066634495774503,0.0027388080580618,0.0058432595749281,0.0217100819397931,-0.1018718793896246,-0.108535328967075,-0.0237850472952143,-0.0348672202374602,3.801696684599149,431.57894736842104,external_candidate,True,True
bw92_boll_lower_boll_upper_trim_ma_trend_full_drawdown_90,17,1.0,0.0047326044598836,0.0147043577376582,0.0057373887216623,0.0290882297331914,-0.0457722144157014,-0.050504818875585,-0.029080946660115,-0.041602722567591,9.010381279053474,447.11764705882354,external_candidate,True,True
bw92_boll_or_rsi_rsi_high_trim_strong_trend_full_drawdown_90,16,1.0,0.0063281309109677,0.0014878333952561,0.0056687724165221,0.0254268996983638,-0.0798103945357008,-0.0861385254466686,-0.0289922008433114,-0.0428730616279519,7.580391665482631,474.6875,external_candidate,True,True
