strategy_id,samples,pass_rate,avg_total_gap,median_total_gap,avg_annualized_gap,avg_drawdown_improvement,avg_strategy_return,avg_buy_hold_return,avg_var_5,avg_cvar_5,avg_turnover,avg_trades,promotion_state,requires_quantlab_exact_rerun,requires_user_approval_before_strategy_library_write
bw92_boll_lower_none_ma_trend_full_none,240,0.9208333333333332,-0.0169334094394105,-0.010657423979425,-0.0069169548722568,0.0080567377615906,0.2504597347655211,0.2673931442049316,-0.0222498027490936,-0.0342663741191135,2.719523294707506,237.3625,external_candidate,True,True
bw92_boll_lower_none_ma_trend_full_ma60_break_90,240,0.9166666666666666,-0.0197898687511685,-0.0101199913920256,-0.0043499609304443,0.0163017376020794,0.247603275453763,0.2673931442049316,-0.0217333102516815,-0.0331993440279195,3.8257365074823064,294.98333333333335,external_candidate,True,True
bw92_none_none_ma_trend_full_ma60_break_90,240,0.9166666666666666,-0.0201027413231399,-0.0105538542904434,-0.0046386352243657,0.016237695755188,0.2472904028817916,0.2673931442049316,-0.0217333102514724,-0.0331991625295826,3.769030732488862,294.98333333333335,external_candidate,True,True
bw92_rsi_35_none_macd_trend_full_none,240,0.9125,-0.0208961165132456,-0.0103348077024253,-0.0091498964840324,0.0053503372309548,0.246497027691686,0.2673931442049316,-0.0225554121572284,-0.0348653174094716,6.984552042196173,302.49583333333334,external_candidate,True,True
bw92_boll_or_rsi_none_macd_trend_full_none,240,0.9041666666666668,-0.0214440516058993,-0.010224039522669,-0.0092222646877005,0.0048942908441912,0.2459490925990322,0.2673931442049316,-0.0225846508732811,-0.0348881585229051,7.168792223188494,300.3041666666667,external_candidate,True,True
bw92_none_none_macd_trend_full_none,240,0.8791666666666667,-0.0211195238574739,-0.0067478081421836,-0.0060040872068753,0.0117678467534663,0.2462736203474576,0.2673931442049316,-0.022218821076271,-0.0338338853929475,4.689202134226577,335.37916666666666,external_candidate,True,True
bw92_none_none_macd_trend_full_atr_96,240,0.8791666666666667,-0.0216458720667719,-0.0071123557284777,-0.0060138287757963,0.0125069952025228,0.2457472721381596,0.2673931442049316,-0.0221625948733972,-0.0337246970972637,4.742047124627698,366.55,external_candidate,True,True
bw92_boll_lower_none_macd_trend_full_atr_96,240,0.8708333333333333,-0.0245225556142413,-0.0088270298483391,-0.0083637571009594,0.0103555950172948,0.2428705885906902,0.2673931442049316,-0.0222265105135217,-0.033945144042216,6.0542179429243514,365.8333333333333,external_candidate,True,True
bw92_boll_lower_none_macd_trend_full_none,240,0.8666666666666667,-0.025492956211089,-0.0111288309275547,-0.0103404824966123,0.0082201636440645,0.2419001879938425,0.2673931442049316,-0.022313132140666,-0.0342430509002729,6.286680907126358,333.6041666666667,external_candidate,True,True
bw92_rsi_35_none_strong_trend_full_none,240,0.8541666666666666,-0.0262604011470989,-0.0136623966650289,-0.0120005007016451,0.0094795315833058,0.2411327430578326,0.2673931442049316,-0.022015623056801,-0.0343143034570031,6.7508301163146545,400.4166666666667,external_candidate,True,True
