batch_index,universe_index,symbol,source_symbol,market,asset_class,tradability,returncode,cache_path,metadata_path,error
11,40,VNQ,US.VNQ,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch31_80/US_ETF/US.VNQ.csv,data_cache_moomoo_batch31_80/US_ETF/US.VNQ.metadata.json,
12,41,XLK,US.XLK,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch31_80/US_ETF/US.XLK.csv,data_cache_moomoo_batch31_80/US_ETF/US.XLK.metadata.json,
13,42,XLF,US.XLF,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch31_80/US_ETF/US.XLF.csv,data_cache_moomoo_batch31_80/US_ETF/US.XLF.metadata.json,
14,43,XLE,US.XLE,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch31_80/US_ETF/US.XLE.csv,data_cache_moomoo_batch31_80/US_ETF/US.XLE.metadata.json,
15,44,XLV,US.XLV,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch31_80/US_ETF/US.XLV.csv,data_cache_moomoo_batch31_80/US_ETF/US.XLV.metadata.json,
16,45,XLI,US.XLI,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch31_80/US_ETF/US.XLI.csv,data_cache_moomoo_batch31_80/US_ETF/US.XLI.metadata.json,
17,46,XLY,US.XLY,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch31_80/US_ETF/US.XLY.csv,data_cache_moomoo_batch31_80/US_ETF/US.XLY.metadata.json,
18,47,XLP,US.XLP,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch31_80/US_ETF/US.XLP.csv,data_cache_moomoo_batch31_80/US_ETF/US.XLP.metadata.json,
19,48,XLU,US.XLU,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch31_80/US_ETF/US.XLU.csv,data_cache_moomoo_batch31_80/US_ETF/US.XLU.metadata.json,
20,49,XLB,US.XLB,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch31_80/US_ETF/US.XLB.csv,data_cache_moomoo_batch31_80/US_ETF/US.XLB.metadata.json,
21,50,XLRE,US.XLRE,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch31_80/US_ETF/US.XLRE.csv,data_cache_moomoo_batch31_80/US_ETF/US.XLRE.metadata.json,
22,51,XLC,US.XLC,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,data_cache_moomoo_batch31_80/US_ETF/US.XLC.csv,data_cache_moomoo_batch31_80/US_ETF/US.XLC.metadata.json,
