event_id,rank,match,commence_time,priority_tier,missing_market,tab_match_name,team_scope,tab_market_name,selection_name,line,decimal_odds,observed_at_aest,operator_initials,evidence_note_or_screenshot_ref,verification_status
7e6aee294ea1a4792c59558791084528,54,Senegal v Iraq,2026-06-26T19:00:00Z,medium,Team Total Goals Over/Under,,,,,,,,,,pending
e07b1926be5a4d515c7eb108dbcee9c5,55,Cape Verde v Saudi Arabia,2026-06-27T00:00:00Z,medium,Team Total Goals Over/Under,,,,,,,,,,pending
dcff2e31c0bce001a4db5caaf4fa8822,56,Uruguay v Spain,2026-06-27T00:00:00Z,medium,Team Total Goals Over/Under,,,,,,,,,,pending
3e3b5fa2b3c963e74cf044c60db0b573,57,Egypt v Iran,2026-06-27T03:00:00Z,medium,Team Total Goals Over/Under,,,,,,,,,,pending
581691da05dcd75b5c6d3be91ee9d2ab,58,New Zealand v Belgium,2026-06-27T03:00:00Z,medium,Team Total Goals Over/Under,,,,,,,,,,pending
537c0997cd899394f47f16545b7068b2,59,Croatia v Ghana,2026-06-27T21:00:00Z,medium,Team Total Goals Over/Under,,,,,,,,,,pending
4be17c8e1ccfecb0f2a5ef79e045c415,60,Panama v England,2026-06-27T21:00:00Z,medium,Team Total Goals Over/Under,,,,,,,,,,pending
67ae5751c401a98409b8566ae4897069,61,Colombia v Portugal,2026-06-27T23:30:00Z,medium,Team Total Goals Over/Under,,,,,,,,,,pending
13eab94a136b9c264ba974cf437a5f71,62,DR Congo v Uzbekistan,2026-06-27T23:30:00Z,medium,Team Total Goals Over/Under,,,,,,,,,,pending
8756200e539155e571557c4f2e0d7f05,63,Algeria v Austria,2026-06-28T02:00:00Z,medium,Team Total Goals Over/Under,,,,,,,,,,pending
54697f453437ab26276d773be1d72e9b,64,Jordan v Argentina,2026-06-28T02:00:00Z,medium,Team Total Goals Over/Under,,,,,,,,,,pending
