code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.03033,CSOP Hang Seng TECH Index ETF,2026-03-18 00:00:00,5.015,5.0,5.025,4.942,0.0,0.04699,828263792.0,4126319800.0,0.04001600640255661,4.998
HK.03033,CSOP Hang Seng TECH Index ETF,2026-03-19 00:00:00,4.9,4.88,4.96,4.866,0.0,0.10541,1859586908.0,9127369890.0,-2.400000000000002,5.0
HK.03033,CSOP Hang Seng TECH Index ETF,2026-03-20 00:00:00,4.84,4.77,4.89,4.728,0.0,0.11599,2090153419.0,10002638637.0,-2.2540983606557443,4.88
HK.03033,CSOP Hang Seng TECH Index ETF,2026-03-23 00:00:00,4.682,4.606,4.704,4.558,0.0,0.15824,2847915153.0,13176366745.0,-3.438155136268338,4.77
HK.03033,CSOP Hang Seng TECH Index ETF,2026-03-24 00:00:00,4.662,4.718,4.73,4.588,0.0,0.15266,2856163444.0,13317597906.0,2.4316109422492422,4.606
HK.03033,CSOP Hang Seng TECH Index ETF,2026-03-25 00:00:00,4.77,4.82,4.842,4.69,0.0,0.09075,1700659846.0,8125312686.0,2.161933022467154,4.718
HK.03033,CSOP Hang Seng TECH Index ETF,2026-03-26 00:00:00,4.784,4.656,4.788,4.636,0.0,0.06472,1190861404.0,5576283012.0,-3.402489626556029,4.82
HK.03033,CSOP Hang Seng TECH Index ETF,2026-03-27 00:00:00,4.624,4.68,4.73,4.618,0.0,0.13258,2436193840.0,11417959356.0,0.5154639175257737,4.656
HK.03033,CSOP Hang Seng TECH Index ETF,2026-03-30 00:00:00,4.546,4.59,4.62,4.514,0.0,0.06092,1109666414.0,5074656643.0,-1.92307692307692,4.68
HK.03033,CSOP Hang Seng TECH Index ETF,2026-03-31 00:00:00,4.598,4.55,4.636,4.52,0.0,0.04056,746166649.0,3397508928.0,-0.8714596949891076,4.59
HK.03033,CSOP Hang Seng TECH Index ETF,2026-04-01 00:00:00,4.668,4.646,4.682,4.602,0.0,0.1152,2065726329.0,9592902005.0,2.109890109890112,4.55
