asset_code,date,nav,daily_return,subscription_status_raw,redemption_status_raw,source_url
018043,2026-04-13,1.7862,1.01%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=3&per=20
018043,2026-04-10,1.7684,0.14%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=3&per=20
018043,2026-04-09,1.7660,0.64%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=3&per=20
018043,2026-04-08,1.7548,2.49%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=3&per=20
018043,2026-04-07,1.7122,0.51%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=3&per=20
018043,2026-04-03,1.7035,0.06%,暂停申购,暂停赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=3&per=20
018043,2026-04-02,1.7024,-0.08%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=3&per=20
018043,2026-04-01,1.7038,0.89%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=3&per=20
018043,2026-03-31,1.6887,3.21%,限制大额申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=3&per=20
018043,2026-03-30,1.6361,-0.64%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=3&per=20
018043,2026-03-27,1.6466,-1.72%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=3&per=20
018043,2026-03-26,1.6754,-2.07%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=3&per=20
018043,2026-03-25,1.7108,0.59%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=3&per=20
018043,2026-03-24,1.7008,-0.86%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=3&per=20
018043,2026-03-23,1.7156,1.34%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=3&per=20
018043,2026-03-20,1.6929,-1.87%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=3&per=20
018043,2026-03-19,1.7252,-0.18%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=3&per=20
018043,2026-03-18,1.7283,-1.42%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=3&per=20
018043,2026-03-17,1.7532,0.35%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=3&per=20
018043,2026-03-16,1.7471,1.13%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=3&per=20
018043,2026-03-13,1.7276,-0.53%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=4&per=20
018043,2026-03-12,1.7368,-1.59%,暂停申购,开放赎回,https://fundf10.eastmoney.com/F10DataApi.aspx?type=lsjz&code=018043&page=4&per=20
